,depth,element,height,parentNode,text,width,x,xpath,y,attributes.charset,attributes.content,attributes.http-equiv,attributes.href,attributes.rel,attributes.as,attributes.crossorigin,attributes.class,attributes.id,attributes.style,attributes.data-action,attributes.data-aod-close-on-esc-action,attributes.data-csa-c-func-deps,attributes.data-csa-c-id,attributes.data-csa-c-type,attributes.data-close-all-offers-display,attributes.tabindex,attributes.aria-label,attributes.role,attributes.data-aod-close-filter-on-click-outside-filter,attributes.action,attributes.method,attributes.alt,attributes.src,attributes.aria-atomic,attributes.aria-live,attributes.data-a-color,attributes.data-a-size,price,attributes.aria-hidden,attributes.data-csa-c-content-id,attributes.data-csa-c-delivery-benefit-program-id,attributes.data-csa-c-delivery-condition,attributes.data-csa-c-delivery-cutoff,attributes.data-csa-c-delivery-price,attributes.data-csa-c-delivery-time,attributes.data-csa-c-delivery-type,attributes.data-csa-c-distance,attributes.data-csa-c-mir-sub-type,attributes.data-csa-c-mir-type,attributes.data-csa-c-mir-variant,attributes.data-csa-c-mir-view,attributes.data-csa-c-pickup-location,attributes.data-csa-c-value-proposition,attributes.target,attributes.data-aod-delivery-more-action,attributes.data-aod-atc-action,attributes.data-aod-click-log,attributes.aria-labelledby,attributes.name,attributes.type,attributes.data-aod-pinned-offer-show-more,attributes.title,attributes.data-aod-pinned-offer-show-less,attributes.data-aod-filter-container-hover,attributes.data-aod-show-filter-action,attributes.value,attributes.data-aod-filter-clear-all,attributes.data-aod-toggle-filter-checkbox,attributes.data-aod-filter-swatch-hover,attributes.data-aod-filter-swatch-expand,attributes.data-aod-load-offers,attributes.data-a-carousel-options,attributes.autocomplete,attributes.aria-posinset,attributes.aria-setsize,attributes.data-a-dynamic-image,attributes.data-a-max-rows,attributes.data-a-overflow-marker,attributes.data-a-recalculate,attributes.data-a-updated,attributes.data-a-word-break,attributes.data-a-modal,attributes.data-addnewaddress,attributes.accept-charset,attributes.data-value,attributes.aria-describedby,attributes.data-nav-digest,attributes.data-nav-selected,attributes.current,attributes.selected,attributes.dir,attributes.placeholder,attributes.data-csa-c-slot-id,attributes.data-nav-ref,attributes.data-nav-role,attributes.data-ux-jq-mouseenter,attributes.border,attributes.height,attributes.hidefocus,attributes.usemap,attributes.width,attributes.coords,attributes.shape,attributes.data-csa-c-interaction-events,attributes.data-category,attributes.data-handler,attributes.data-nav-flyout-full-width,attributes.data-nav-key,attributes.data-slots,attributes.cel_widget_id,attributes.data-cel-widget,attributes.data-feature-name,attributes.data-card-metrics-id,attributes.data-mix-claimed,attributes.data-add-to-cart,attributes.data-atc-library,attributes.data-components,attributes.data-count,attributes.data-points-total,attributes.data-price-totals,attributes.data-punt,attributes.data-a-card-type,attributes.data-display-string-list,attributes.data-asins,attributes.data-mix-operations,attributes.data-numitems,attributes.data-reftag,attributes.data-a-input-name,attributes.for,attributes.checked,attributes.data-rows,attributes.data-acp-tracking,attributes.data-a-ajax-strategy,attributes.data-a-display-strategy,attributes.data-a-transition-strategy,attributes.data-faceoutkataname,attributes.data-faceoutspecs,attributes.data-individuals,attributes.data-language,attributes.data-linkparameters,attributes.data-marketplaceid,attributes.data-name,attributes.data-offset,attributes.data-reftagprefix,attributes.data-slotindex,attributes.noshade,attributes.size,attributes.data-ask-dpsearch-desktop-input-click,attributes.data-ask-dpsearch-desktop-input-focusin,attributes.data-ask-dpsearch-desktop-input-change,attributes.data-ask-dpsearch-desktop-input-keyup,attributes.data-ask-detail-page-search-prefetch-click,attributes.data-ask-prevent-enter-key,attributes.data-autocomplete-search-results-brief,attributes.maxlength,attributes.data-ask-log-click-csm,attributes.data-ask-dpsearch-desktop-go-to-tab,attributes.data-a-remove-bottom-gutter,attributes.data-element-id,attributes.data-state,attributes.data-hook,attributes.data-reviews:filter-action:push-state,attributes.aria-valuenow,attributes.aria-expanded,attributes.data-a-expander-toggle,attributes.data-csa-interaction-events,attributes.data-widget-name,attributes.cellspacing
0,3,META,0.0,HEAD,,0.0,0.0,/html/head/meta[1],0.0,utf-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,META,0.0,HEAD,,0.0,0.0,/html/head/meta[2],0.0,,on,x-dns-prefetch-control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,LINK,0.0,HEAD,,0.0,0.0,/html/head/link[1],0.0,,,,https://images-na.ssl-images-amazon.com,dns-prefetch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3,LINK,0.0,HEAD,,0.0,0.0,/html/head/link[2],0.0,,,,https://m.media-amazon.com,dns-prefetch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,3,LINK,0.0,HEAD,,0.0,0.0,/html/head/link[3],0.0,,,,https://completion.amazon.com,dns-prefetch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3,LINK,0.0,HEAD,,0.0,0.0,/html/head/link[4],0.0,,,,"https://images-na.ssl-images-amazon.com/images/I/11EIQ5IGqaL._RC|01ZTHTZObnL.css,41wZkyTaWoL.css,31Y8m1dzTdL.css,013z33uKh2L.css,017DsKjNQJL.css,0131vqwP5UL.css,41EWOOlBJ9L.css,11TIuySqr6L.css,01ElnPiDxWL.css,11bGSgD5pDL.css,01Dm5eKVxwL.css,01IdKcBuAdL.css,01y-XAlI+2L.css,21N4kUH7pxL.css,01oDR3IULNL.css,41CYNGpGlrL.css,01XPHJk60-L.css,114y0SIP+yL.css,21aPhFy+riL.css,11gneA3MtJL.css,21fecG8pUzL.css,01ulGzBW88L.css,01CFUgsA-YL.css,31C80IiXalL.css,11qour3ND0L.css,11gKCCKQV+L.css,11061HxnEvL.css,11oHt2HYxnL.css,013RDhw9hoL.css,11JQtnL-6eL.css,116v6uYvN6L.css,11jtXRmppwL.css,01QrWuRrZ-L.css,21zuRztKjtL.css,11QyqG8yiqL.css,11K24eOJg4L.css,11F2+OBzLyL.css,01890+Vwk8L.css,11Y05DTEL6L.css,01cbS3UK11L.css,21F85am0yFL.css,01giMEP+djL.css_.css?AUIClients/AmazonUI#us.page_type-Detail.not-trident",stylesheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,3,LINK,0.0,HEAD,,0.0,0.0,/html/head/link[5],0.0,,,,https://images-na.ssl-images-amazon.com/images/I/61wzgHm223L.js?AUIClients/AmazonUIjQuery&LUqi3Imy#412402-T1,preload,script,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3,LINK,0.0,HEAD,,0.0,0.0,/html/head/link[6],0.0,,,,"https://images-na.ssl-images-amazon.com/images/I/11Y+5x+kkTL._RC|5110husWMzL.js,11yKORv-GTL.js,11giXtZCwVL.js,01+z+uIeJ-L.js,01VRMV3FBdL.js,21SDJtBU-PL.js,012FVc3131L.js,11rRjDLdAVL.js,51RzYQslpZL.js,11kWu3cNjYL.js,11tMohjWmVL.js,11OREnu1epL.js,11wcWdhrnDL.js,21ssiLNIZvL.js,0190vxtlzcL.js,51+N26vFcBL.js,01JYHc2oIlL.js,31R9m8rig5L.js,01ezj5Rkz1L.js,11bEz2VIYrL.js,31o2NGTXThL.js,01rpauTep4L.js,0197uKrNvvL.js_.js?AUIClients/AmazonUI#page_type-Detail",preload,script,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3,LINK,0.0,HEAD,,0.0,0.0,/html/head/link[7],0.0,,,,https://images-na.ssl-images-amazon.com/images/I/517bxgHV8WL.js?AUIClients/CardJsRuntimeBuzzCopyBuild,preload,script,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3,LINK,0.0,HEAD,,0.0,0.0,/html/head/link[8],0.0,,,,"https://images-na.ssl-images-amazon.com/images/I/41H4XraWzVL._RC|71jAZB7B0jL.css,41+iatDn5tL.css,312TpTsYxPL.css,31YZpDCYJPL.css,21MKjoYL8wL.css,41l+KwylX3L.css,01yCq3WXEcL.css,11kO7yAgiQL.css,31OvHRW+XiL.css,01XHMOHpK1L.css,11iUHDm4--L.css,415g7iDx4VL.css,01YWmXMYw8L.css_.css?AUIClients/NavDesktopUberAsset&tLCWMgUI#desktop.427118-T2.392230-T1",stylesheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
